anio,sem,enfermedad,casos,cie
2005,06,brucelosis,31,a23
2005,06,colera,0,a00
2005,06,dengue clasico,30,a90
2005,06,enfermedad febril exantematica,0,u97
2005,06,enfermedades infecciosas intestinales,80085,a01-a03
2005,06,escarlatina,129,a38
2005,06,fiebre del oeste del nilo,0,a92.3
2005,06,fiebre reumatica aguda,9,i00-i02
2005,06,fiebre tifoidea,426,a01.0
2005,06,hepatitis virica a,343,b15
2005,06,hepatitis virica b,7,b16
2005,06,hepatitis virica c,21,b17.1
2005,06,infeccion asintomatica por vih,73,z21
2005,06,infeccion intestinal debida a virus y otros organismos,64517,a04 a08-a09
2005,06,infecciones respiratorias agudas,521692,j00-j06
2005,06,intoxicacion alimentaria bacteriana,458,a05
2005,06,intoxicacion por animales venenosos,414,t63 excepto t63.2
2005,06,intoxicacion por plaguicidas,38,t60
2005,06,intoxicacion por veneno de escorpion,2240,t63.2
2005,06,leptospirosis,1,a27
2005,06,meningitis meningococica,5,a39.0
2005,06,meningitis tuberculosa,1,a17.0
2005,06,meningitis,25,g00-g03
2005,06,mordeduras por perro,2079,w54
2005,06,mordeduras por serpiente,22,x20
2005,06,neumonias y bronconeumonias,4570,j12
2005,06,paludismo por p. falciparum,0,b50
2005,06,paludismo por p. vivax,47,b51
2005,06,paralisis flacida aguda,10,u98
2005,06,paratifoidea,1586,a01.1-a02
2005,06,parotiditis infecciosa,104,b26
2005,06,rubeola congenita,0,p35.0
2005,06,rubeola,8,b06
2005,06,shigelosis,197,a03
2005,06,sida,39,b20-b24
2005,06,sifilis congenita,0,a50
2005,06,tetanos neonatal,0,a33
2005,06,tetanos,0,a34
2005,06,tos ferina,0,a37
2005,06,tuberculosis respiratoria,197,a15-a16
2005,06,varicela,6720,b01
2005,07,brucelosis,36,a23
2005,07,colera,0,a00
2005,07,dengue clasico,22,a90
2005,07,enfermedad febril exantematica,129,u97
2005,07,escarlatina,164,a38
2005,07,fiebre del oeste del nilo,0,a92.3
2005,07,fiebre reumatica aguda,19,i00-i02
2005,07,fiebre tifoidea,452,a01.0
2005,07,hepatitis virica a,358,b15
2005,07,hepatitis virica b,6,b16
2005,07,hepatitis virica c,21,b17.1
2005,07,infeccion asintomatica por vih,55,z21
2005,07,infeccion gonococica genitourinaria,32,a54.0-a54.2
2005,07,infeccion intestinal debida a virus y otros organismos,68217,a04 a08-a09
2005,07,infecciones respiratorias agudas,578380,j00-j06
2005,07,intoxicacion alimentaria bacteriana,545,a05
2005,07,intoxicacion por animales venenosos,470,t63 excepto t63.2
2005,07,intoxicacion por plaguicidas,45,t60
2005,07,intoxicacion por veneno de escorpion,2731,t63.2
2005,07,leptospirosis,1,a27
2005,07,meningitis meningococica,2,a39.0
2005,07,meningitis tuberculosa,0,a17.0
2005,07,meningitis,15,g00-g03
2005,07,mordeduras por perro,2239,w54
2005,07,mordeduras por serpiente,28,x20
2005,07,neumonias y bronconeumonias,4313,j12
2005,07,paludismo por p. falciparum,0,b50
2005,07,paludismo por p. vivax,7,b51
2005,07,paralisis flacida aguda,11,u98
2005,07,paratifoidea,1568,a01.1-a02
2005,07,parotiditis infecciosa,145,b26
2005,07,rubeola congenita,0,p35.0
2005,07,rubeola,8,b06
2005,07,shigelosis,285,a03
2005,07,sida,17,b20-b24
2005,07,sifilis adquirida,27,a51-a53
2005,07,sifilis congenita,1,a50
2005,07,tetanos neonatal,0,a33
2005,07,tetanos,0,a34
2005,07,tos ferina,0,a37
2005,07,tuberculosis respiratoria,298,a15-a16
2005,07,varicela,7952,b01
2005,08,brucelosis,45,a23
2005,08,colera,0,a00
2005,08,dengue clasico,18,a90
2005,08,enfermedad febril exantematica,117,u97
2005,08,escarlatina,166,a38
2005,08,fiebre del oeste del nilo,0,a92.3
2005,08,fiebre reumatica aguda,22,i00-i02
2005,08,fiebre tifoidea,423,a01.0
2005,08,hepatitis virica a,362,b15
2005,08,hepatitis virica b,5,b16
2005,08,hepatitis virica c,31,b17.1
2005,08,infeccion asintomatica por vih,59,z21
2005,08,infeccion intestinal debida a virus y otros organismos,71848,a04 a08-a09
2005,08,infecciones respiratorias agudas,588199,j00-j06
2005,08,intoxicacion alimentaria bacteriana,611,a05
2005,08,intoxicacion por animales venenosos,501,t63 excepto t63.2
2005,08,intoxicacion por plaguicidas,60,t60
2005,08,intoxicacion por veneno de escorpion,3076,t63.2
2005,08,leptospirosis,0,a27
2005,08,meningitis meningococica,2,a39.0
2005,08,meningitis tuberculosa,1,a17.0
2005,08,meningitis,15,g00-g03
2005,08,mordeduras por perro,2491,w54
2005,08,mordeduras por serpiente,41,x20
2005,08,neumonias y bronconeumonias,4918,j12
2005,08,paludismo por p. falciparum,0,b50
2005,08,paludismo por p. vivax,15,b51
2005,08,paralisis flacida aguda,9,u98
2005,08,paratifoidea,1655,a01.1-a02
2005,08,parotiditis infecciosa,162,b26
2005,08,rubeola congenita,0,p35.0
2005,08,rubeola,5,b06
2005,08,shigelosis,280,a03
2005,08,sida,28,b20-b24
2005,08,sifilis congenita,2,a50
2005,08,tetanos neonatal,0,a33
2005,08,tetanos,0,a34
2005,08,tos ferina,0,a37
2005,08,tuberculosis respiratoria,233,a15-a16
2005,08,varicela,8443,b01
2005,09,brucelosis,46,a23
2005,09,colera,0,a00
2005,09,conjuntivitis,5039,b30
2005,09,dengue clasico,26,a90
2005,09,enfermedad febril exantematica,8,u97
2005,09,escarlatina,164,a38
2005,09,fiebre del oeste del nilo,0,a92.3
2005,09,fiebre reumatica aguda,18,i00-i02
2005,09,fiebre tifoidea,470,a01.0
2005,09,hepatitis virica b,6,b16
2005,09,hepatitis virica c,24,b17.1
2005,09,infeccion gonococica genitourinaria,17,a54.0-a54.2
2005,09,infeccion intestinal debida a virus y otros organismos,71726,a04 a08-a09
2005,09,infecciones respiratorias agudas,582220,j00-j06
2005,09,intoxicacion alimentaria bacteriana,659,a05
2005,09,intoxicacion por animales venenosos,488,t63 excepto t63.2
2005,09,intoxicacion por plaguicidas,37,t60
2005,09,intoxicacion por veneno de escorpion,3086,t63.2
2005,09,leptospirosis,1,a27
2005,09,meningitis meningococica,0,a39.0
2005,09,meningitis tuberculosa,4,a17.0
2005,09,meningitis,19,g00-g03
2005,09,mordeduras por perro,2509,w54
2005,09,mordeduras por serpiente,49,x20
2005,09,neumonias y bronconeumonias,4184,j12
2005,09,paralisis flacida aguda,5,u98
2005,09,paratifoidea,1583,a01.1-a02
2005,09,rubeola congenita,0,p35.0
2005,09,rubeola,9,b06
2005,09,shigelosis,296,a03
2005,09,sifilis adquirida,28,a51-a53
2005,09,sifilis congenita,1,a50
2005,09,tetanos neonatal,0,a33
2005,09,tetanos,0,a34
2005,09,tos ferina,0,a37
2005,09,tuberculosis respiratoria,242,a15-a16
2005,09,varicela,8631,b01
2005,10,brucelosis,33,a23
2005,10,colera,0,a00
2005,10,dengue clasico,15,a90
2005,10,enfermedad febril exantematica,48,u97
2005,10,escarlatina,214,a38
2005,10,fiebre del oeste del nilo,0,a92.3
2005,10,fiebre reumatica aguda,62,i00-i02
2005,10,fiebre tifoidea,593,a01.0
2005,10,hepatitis virica a,321,b15
2005,10,hepatitis virica b,10,b16
2005,10,hepatitis virica c,32,b17.1
2005,10,infeccion asintomatica por vih,62,z21
2005,10,infeccion gonococica genitourinaria,17,a54.0-a54.2
2005,10,infeccion intestinal debida a virus y otros organismos,66110,a04 a08-a09
2005,10,infecciones respiratorias agudas,553927,j00-j06
2005,10,intoxicacion alimentaria bacteriana,482,a05
2005,10,intoxicacion por animales venenosos,470,t63 excepto t63.2
2005,10,intoxicacion por plaguicidas,34,t60
2005,10,intoxicacion por veneno de escorpion,2859,t63.2
2005,10,leptospirosis,0,a27
2005,10,meningitis tuberculosa,3,a17.0
2005,10,mordeduras por otros mamiferos,215,w55
2005,10,mordeduras por perro,2459,w54
2005,10,mordeduras por serpiente,33,x20
2005,10,neumonias y bronconeumonias,4587,j12
2005,10,paludismo por p. falciparum,2,b50
2005,10,paludismo por p. vivax,10,b51
2005,10,paralisis flacida aguda,13,u98
2005,10,paratifoidea,1699,a01.1-a02
2005,10,parotiditis infecciosa,161,b26
2005,10,rubeola congenita,0,p35.0
2005,10,rubeola,10,b06
2005,10,shigelosis,328,a03
2005,10,sida,60,b20-b24
2005,10,sifilis adquirida,48,a51-a53
2005,10,sifilis congenita,4,a50
2005,10,tetanos neonatal,0,a33
2005,10,tetanos,0,a34
2005,10,tos ferina,0,a37
2005,10,tuberculosis respiratoria,209,a15-a16
2005,10,varicela,8931,b01
2005,11,brucelosis,37,a23
2005,11,colera,0,a00
2005,11,dengue clasico,23,a90
2005,11,enfermedad febril exantematica,109,u97
2005,11,enfermedades infecciosas intestinales,80019,a01-a03
2005,11,escarlatina,167,a38
2005,11,fiebre del oeste del nilo,0,a92.3
2005,11,fiebre reumatica aguda,30,i00-i02
2005,11,fiebre tifoidea,448,a01.0
2005,11,hepatitis virica a,299,b15
2005,11,hepatitis virica b,6,b16
2005,11,hepatitis virica c,18,b17.1
2005,11,infeccion asintomatica por vih,74,z21
2005,11,infeccion intestinal debida a virus y otros organismos,63018,a04 a08-a09
2005,11,infecciones respiratorias agudas,504647,j00-j06
2005,11,intoxicacion alimentaria bacteriana,555,a05
2005,11,intoxicacion por animales venenosos,608,t63 excepto t63.2
2005,11,intoxicacion por plaguicidas,61,t60
2005,11,intoxicacion por veneno de escorpion,3120,t63.2
2005,11,leptospirosis,0,a27
2005,11,meningitis meningococica,0,a39.0
2005,11,meningitis tuberculosa,4,a17.0
2005,11,meningitis,12,g00-g03
2005,11,mordeduras por perro,2604,w54
2005,11,mordeduras por serpiente,28,x20
2005,11,neumonias y bronconeumonias,3524,j12
2005,11,paludismo por p. falciparum,0,b50
2005,11,paludismo por p. vivax,13,b51
2005,11,paralisis flacida aguda,1,u98
2005,11,paratifoidea,1475,a01.1-a02
2005,11,parotiditis infecciosa,140,b26
2005,11,rubeola congenita,0,p35.0
2005,11,rubeola,5,b06
2005,11,shigelosis,269,a03
2005,11,sida,73,b20-b24
2005,11,sifilis congenita,0,a50
2005,11,tetanos neonatal,0,a33
2005,11,tetanos,0,a34
2005,11,tos ferina,0,a37
2005,11,tuberculosis respiratoria,225,a15-a16
2005,11,varicela,8156,b01
2005,12,brucelosis,40,a23
2005,12,colera,0,a00
2005,12,dengue clasico,18,a90
2005,12,enfermedad febril exantematica,89,u97
2005,12,enfermedades infecciosas intestinales,91793,a01-a03
2005,12,escarlatina,170,a38
2005,12,fiebre del oeste del nilo,0,a92.3
2005,12,fiebre reumatica aguda,47,i00-i02
2005,12,fiebre tifoidea,505,a01.0
2005,12,hepatitis virica a,243,b15
2005,12,hepatitis virica b,7,b16
2005,12,hepatitis virica c,17,b17.1
2005,12,infeccion asintomatica por vih,56,z21
2005,12,infeccion intestinal debida a virus y otros organismos,57144,a04 a08-a09
2005,12,infecciones respiratorias agudas,442067,j00-j06
2005,12,intoxicacion alimentaria bacteriana,490,a05
2005,12,intoxicacion por animales venenosos,454,t63 excepto t63.2
2005,12,intoxicacion por plaguicidas,31,t60
2005,12,intoxicacion por veneno de escorpion,2967,t63.2
2005,12,leptospirosis,0,a27
2005,12,meningitis meningococica,0,a39.0
2005,12,meningitis tuberculosa,5,a17.0
2005,12,meningitis,7,g00-g03
2005,12,mordeduras por perro,2324,w54
2005,12,mordeduras por serpiente,29,x20
2005,12,neumonias y bronconeumonias,3356,j12
2005,12,paludismo por p. falciparum,0,b50
2005,12,paludismo por p. vivax,29,b51
2005,12,paralisis flacida aguda,5,u98
2005,12,paratifoidea,1233,a01.1-a02
2005,12,parotiditis infecciosa,131,b26
2005,12,rubeola congenita,0,p35.0
2005,12,rubeola,8,b06
2005,12,shigelosis,245,a03
2005,12,sida,13,b20-b24
2005,12,sifilis congenita,1,a50
2005,12,tetanos neonatal,0,a33
2005,12,tetanos,0,a34
2005,12,tos ferina,16,a37
2005,12,tuberculosis respiratoria,175,a15-a16
2005,12,varicela,7248,b01
2005,13,brucelosis,23,a23
2005,13,colera,0,a00
2005,13,dengue clasico,10,a90
2005,13,enfermedad febril exantematica,162,u97
2005,13,enfermedades infecciosas intestinales,64442,a01-a03
2005,13,escarlatina,156,a38
2005,13,fiebre del oeste del nilo,0,a92.3
2005,13,fiebre reumatica aguda,22,i00-i02
2005,13,fiebre tifoidea,294,a01.0
2005,13,hepatitis virica a,193,b15
2005,13,hepatitis virica b,2,b16
2005,13,hepatitis virica c,9,b17.1
2005,13,infeccion asintomatica por vih,27,z21
2005,13,infeccion intestinal debida a virus y otros organismos,53340,a04 a08-a09
2005,13,infecciones respiratorias agudas,352705,j00-j06
2005,13,intoxicacion alimentaria bacteriana,637,a05
2005,13,intoxicacion por animales venenosos,600,t63 excepto t63.2
2005,13,intoxicacion por plaguicidas,50,t60
2005,13,intoxicacion por veneno de escorpion,3518,t63.2
2005,13,leptospirosis,1,a27
2005,13,meningitis meningococica,1,a39.0
2005,13,meningitis tuberculosa,2,a17.0
2005,13,meningitis,7,g00-g03
2005,13,mordeduras por perro,2132,w54
2005,13,mordeduras por serpiente,40,x20
2005,13,neumonias y bronconeumonias,2928,j12
2005,13,paludismo por p. falciparum,1,b50
2005,13,paludismo por p. vivax,9,b51
2005,13,paralisis flacida aguda,6,u98
2005,13,paratifoidea,928,a01.1-a02
2005,13,parotiditis infecciosa,90,b26
2005,13,rubeola congenita,0,p35.0
2005,13,rubeola,6,b06
2005,13,shigelosis,199,a03
2005,13,sida,102,b20-b24
2005,13,sifilis congenita,1,a50
2005,13,tetanos neonatal,0,a33
2005,13,tetanos,0,a34
2005,13,tos ferina,0,a37
2005,13,tuberculosis respiratoria,150,a15-a16
2005,13,varicela,6017,b01
2005,14,brucelosis,36,a23
2005,14,colera,0,a00
2005,14,conjuntivitis,5094,b30
2005,14,dengue clasico,34,a90
2005,14,enfermedad febril exantematica,45,u97
2005,14,escarlatina,192,a38
2005,14,fiebre del oeste del nilo,0,a92.3
2005,14,fiebre reumatica aguda,29,i00-i02
2005,14,fiebre tifoidea,542,a01.0
2005,14,hepatitis virica b,11,b16
2005,14,hepatitis virica c,28,b17.1
2005,14,infeccion gonococica genitourinaria,15,a54.0-a54.2
2005,14,infeccion intestinal debida a virus y otros organismos,75576,a04 a08-a09
2005,14,infecciones respiratorias agudas,466140,j00-j06
2005,14,intoxicacion alimentaria bacteriana,635,a05
2005,14,intoxicacion por animales venenosos,675,t63 excepto t63.2
2005,14,intoxicacion por plaguicidas,28,t60
2005,14,intoxicacion por veneno de escorpion,3849,t63.2
2005,14,leptospirosis,2,a27
2005,14,meningitis meningococica,1,a39.0
2005,14,meningitis tuberculosa,2,a17.0
2005,14,meningitis,18,g00-g03
2005,14,mordeduras por perro,2785,w54
2005,14,mordeduras por serpiente,48,x20
2005,14,neumonias y bronconeumonias,3415,j12
2005,14,paludismo por p. falciparum,0,b50
2005,14,paludismo por p. vivax,10,b51
2005,14,paralisis flacida aguda,12,u98
2005,14,paratifoidea,1561,a01.1-a02
2005,14,rubeola congenita,0,p35.0
2005,14,rubeola,5,b06
2005,14,shigelosis,307,a03
2005,14,sifilis adquirida,32,a51-a53
2005,14,sifilis congenita,3,a50
2005,14,tetanos neonatal,0,a33
2005,14,tetanos,12,a34
2005,14,tos ferina,0,a37
2005,14,tuberculosis respiratoria,220,a15-a16
2005,14,varicela,8286,b01
2005,15,brucelosis,33,a23
2005,15,colera,0,a00
2005,15,dengue clasico,5,a90
2005,15,enfermedad febril exantematica,97,u97
2005,15,enfermedades infecciosas intestinales,108664,a01-a03
2005,15,escarlatina,201,a38
2005,15,fiebre del oeste del nilo,0,a92.3
2005,15,fiebre reumatica aguda,34,i00-i02
2005,15,fiebre tifoidea,616,a01.0
2005,15,hepatitis virica a,293,b15
2005,15,hepatitis virica b,3,b16
2005,15,hepatitis virica c,26,b17.1
2005,15,infeccion asintomatica por vih,78,z21
2005,15,infeccion intestinal debida a virus y otros organismos,87291,a04 a08-a09
2005,15,infecciones respiratorias agudas,453419,j00-j06
2005,15,intoxicacion alimentaria bacteriana,825,a05
2005,15,intoxicacion por animales venenosos,678,t63 excepto t63.2
2005,15,intoxicacion por plaguicidas,58,t60
2005,15,intoxicacion por veneno de escorpion,4927,t63.2
2005,15,leptospirosis,1,a27
2005,15,meningitis meningococica,3,a39.0
2005,15,meningitis tuberculosa,5,a17.0
2005,15,meningitis,18,g00-g03
2005,15,mordeduras por perro,2679,w54
2005,15,mordeduras por serpiente,48,x20
2005,15,neumonias y bronconeumonias,3082,j12
2005,15,paludismo por p. falciparum,0,b50
2005,15,paludismo por p. vivax,11,b51
2005,15,paralisis flacida aguda,1,u98
2005,15,paratifoidea,2305,a01.1-a02
2005,15,parotiditis infecciosa,158,b26
2005,15,rubeola congenita,0,p35.0
2005,15,rubeola,12,b06
2005,15,shigelosis,306,a03
2005,15,sida,40,b20-b24
2005,15,sifilis congenita,1,a50
2005,15,tetanos neonatal,0,a33
2005,15,tetanos,0,a34
2005,15,tos ferina,1,a37
2005,15,tuberculosis respiratoria,230,a15-a16
2005,15,varicela,9647,b01
2005,16,brucelosis,46,a23
2005,16,colera,0,a00
2005,16,dengue clasico,27,a90
2005,16,enfermedad febril exantematica,50,u97
2005,16,enfermedades infecciosas intestinales,115678,a01-a03
2005,16,escarlatina,251,a38
2005,16,fiebre del oeste del nilo,0,a92.3
2005,16,fiebre reumatica aguda,23,i00-i02
2005,16,fiebre tifoidea,500,a01.0
2005,16,hepatitis virica a,316,b15
2005,16,hepatitis virica b,5,b16
2005,16,hepatitis virica c,22,b17.1
2005,16,infeccion asintomatica por vih,77,z21
2005,16,infeccion intestinal debida a virus y otros organismos,93716,a04 a08-a09
2005,16,infecciones respiratorias agudas,436447,j00-j06
2005,16,intoxicacion alimentaria bacteriana,790,a05
2005,16,intoxicacion por animales venenosos,740,t63 excepto t63.2
2005,16,intoxicacion por plaguicidas,59,t60
2005,16,intoxicacion por veneno de escorpion,4932,t63.2
2005,16,leptospirosis,1,a27
2005,16,meningitis meningococica,7,a39.0
2005,16,meningitis tuberculosa,3,a17.0
2005,16,meningitis,10,g00-g03
2005,16,mordeduras por perro,2715,w54
2005,16,mordeduras por serpiente,54,x20
2005,16,neumonias y bronconeumonias,2695,j12
2005,16,paludismo por p. falciparum,0,b50
2005,16,paludismo por p. vivax,7,b51
2005,16,paralisis flacida aguda,0,u98
2005,16,paratifoidea,1709,a01.1-a02
2005,16,parotiditis infecciosa,178,b26
2005,16,rubeola congenita,0,p35.0
2005,16,rubeola,8,b06
2005,16,shigelosis,315,a03
2005,16,sida,106,b20-b24
2005,16,sifilis congenita,3,a50
2005,16,tetanos neonatal,0,a33
2005,16,tetanos,0,a34
2005,16,tos ferina,4,a37
2005,16,tuberculosis respiratoria,252,a15-a16
2005,16,varicela,9425,b01
2005,17,brucelosis,41,a23
2005,17,colera,0,a00
2005,17,dengue clasico,18,a90
2005,17,enfermedad febril exantematica,44,u97
2005,17,enfermedades infecciosas intestinales,119635,a01-a03
2005,17,escarlatina,211,a38
2005,17,fiebre del oeste del nilo,0,a92.3
2005,17,fiebre reumatica aguda,24,i00-i02
2005,17,fiebre tifoidea,645,a01.0
2005,17,hepatitis virica a,354,b15
2005,17,hepatitis virica b,7,b16
2005,17,hepatitis virica c,27,b17.1
2005,17,infeccion asintomatica por vih,59,z21
2005,17,infeccion intestinal debida a virus y otros organismos,96651,a04 a08-a09
2005,17,infecciones respiratorias agudas,449077,j00-j06
2005,17,intoxicacion alimentaria bacteriana,872,a05
2005,17,intoxicacion por animales venenosos,805,t63 excepto t63.2
2005,17,intoxicacion por plaguicidas,36,t60
2005,17,intoxicacion por veneno de escorpion,5893,t63.2
2005,17,leptospirosis,1,a27
2005,17,meningitis meningococica,0,a39.0
2005,17,meningitis tuberculosa,1,a17.0
2005,17,meningitis,12,g00-g03
2005,17,mordeduras por perro,2749,w54
2005,17,mordeduras por serpiente,52,x20
2005,17,neumonias y bronconeumonias,2549,j12
2005,17,paludismo por p. falciparum,0,b50
2005,17,paludismo por p. vivax,32,b51
2005,17,paralisis flacida aguda,5,u98
2005,17,paratifoidea,2103,a01.1-a02
2005,17,parotiditis infecciosa,165,b26
2005,17,rubeola congenita,0,p35.0
2005,17,rubeola,12,b06
2005,17,shigelosis,386,a03
2005,17,sida,78,b20-b24
2005,17,sifilis congenita,0,a50
2005,17,tetanos neonatal,0,a33
2005,17,tetanos,0,a34
2005,17,tos ferina,2,a37
2005,17,tuberculosis respiratoria,297,a15-a16
2005,17,varicela,10308,b01
2005,18,brucelosis,47,a23
2005,18,colera,0,a00
2005,18,conjuntivitis,5447,b30
2005,18,dengue clasico,17,a90
2005,18,enfermedad febril exantematica,0,u97
2005,18,escarlatina,169,a38
2005,18,fiebre del oeste del nilo,0,a92.3
2005,18,fiebre reumatica aguda,30,i00-i02
2005,18,fiebre tifoidea,541,a01.0
2005,18,hepatitis virica b,7,b16
2005,18,hepatitis virica c,20,b17.1
2005,18,infeccion gonococica genitourinaria,16,a54.0-a54.2
2005,18,infeccion intestinal debida a virus y otros organismos,77752,a04 a08-a09
2005,18,infecciones respiratorias agudas,379644,j00-j06
2005,18,intoxicacion alimentaria bacteriana,735,a05
2005,18,intoxicacion por animales venenosos,695,t63 excepto t63.2
2005,18,intoxicacion por plaguicidas,50,t60
2005,18,intoxicacion por veneno de escorpion,5182,t63.2
2005,18,leptospirosis,0,a27
2005,18,meningitis meningococica,1,a39.0
2005,18,meningitis tuberculosa,4,a17.0
2005,18,meningitis,12,g00-g03
2005,18,mordeduras por perro,2558,w54
2005,18,mordeduras por serpiente,62,x20
2005,18,neumonias y bronconeumonias,2219,j12
2005,18,paludismo por p. falciparum,0,b50
2005,18,paludismo por p. vivax,32,b51
2005,18,paralisis flacida aguda,0,u98
2005,18,paratifoidea,1616,a01.1-a02
2005,18,rubeola congenita,0,p35.0
2005,18,rubeola,6,b06
2005,18,shigelosis,280,a03
2005,18,sifilis adquirida,19,a51-a53
2005,18,sifilis congenita,0,a50
2005,18,tetanos neonatal,0,a33
2005,18,tetanos,0,a34
2005,18,tos ferina,0,a37
2005,18,tuberculosis respiratoria,266,a15-a16
2005,18,varicela,7896,b01
2005,19,brucelosis,42,a23
